job_id,title,company,location,country,description,requirements,apply_email,apply_url,language,source,posted_at,isco_code,inclusive
NG-001,Junior Software Developer,Andela Nigeria,"Lagos, Nigeria",Nigeria,"Build and maintain web applications using Python and JavaScript. Inclusive workplace, accessible office in Victoria Island.","Python, Django, JavaScript, Git, B.Sc Computer Science or related",hr-demo+andela@example.com,,en,seed,2026-04-10,2512,yes
NG-002,Data Entry Clerk,Lagos State Civil Service,"Ikeja, Lagos, Nigeria",Nigeria,"Enter and validate citizen records into government databases. Screen-reader compatible workstations available.","WAEC SSCE, Microsoft Excel, attention to detail, typing 40wpm",hr-demo+lscs@example.com,,en,seed,2026-04-12,4131,yes
NG-003,Customer Support Agent (Remote),Paystack,Remote,Remote,"Support merchants over chat and email. Quiet remote role suitable for hearing-impaired candidates with strong written English.","Excellent written English, problem solving, B.Sc any field",hr-demo+paystack@example.com,,en,seed,2026-04-15,4222,yes
NG-004,Mechanical Maintenance Technician,Dangote Cement,"Obajana, Kogi, Nigeria",Nigeria,"Maintain plant machinery. Wheelchair-accessible control room. Safety-first culture.","B.Sc Mechanical Engineering, 2 years experience, knowledge of HVAC",hr-demo+dangote@example.com,,en,seed,2026-04-08,3132,yes
NG-005,Junior Accountant,GTBank,"Victoria Island, Lagos, Nigeria",Nigeria,"Reconcile accounts, prepare monthly reports. Inclusive hiring program.","B.Sc Accounting, ICAN part qualified preferred",hr-demo+gtbank@example.com,,en,seed,2026-04-14,2411,yes
NG-006,Frontend Developer,Flutterwave,"Lagos, Nigeria (Hybrid)",Nigeria,"Build payment dashboards in React. Flexible/hybrid schedule.","React, TypeScript, HTML, CSS, B.Sc Computer Science",hr-demo+flutterwave@example.com,,en,seed,2026-04-16,2512,no
NG-007,Mechanical Design Engineer,Julius Berger Nigeria,"Abuja, Nigeria",Nigeria,"Design and review mechanical systems for civil construction projects. Reasonable accommodation provided.","B.Sc Mechanical Engineering, AutoCAD, SolidWorks",hr-demo+jbn@example.com,,en,seed,2026-04-05,3132,yes
NG-008,Tailor / Dressmaker,Lagos Fashion House,"Yaba, Lagos, Nigeria",Nigeria,"Sewing, alterations and pattern-making for ready-to-wear line. Seated workshop accommodating mobility impairments.","Sewing, pattern making, fitting, alterations",hr-demo+lfh@example.com,,en,seed,2026-04-12,7531,yes
NG-009,Logistics Clerk,Maersk Nigeria,"Apapa, Lagos, Nigeria",Nigeria,"Supply chain documentation, customs paperwork, container tracking. Office is wheelchair accessible.","Supply chain, SAP, inventory, English",hr-demo+maersk-ng@example.com,,en,seed,2026-04-13,3331,yes
NG-010,Graphic Designer,Co-Creation Hub,"Lagos, Nigeria (Remote)",Remote,"Design marketing assets and product mockups. Remote-friendly.","Photoshop, Illustrator, Figma, Typography",hr-demo+cchub@example.com,,en,seed,2026-04-11,2166,yes
CM-001,Assistant Administratif,Orange Cameroun,"Douala, Cameroun",Cameroon,"Soutien administratif au bureau de Douala. Locaux accessibles aux personnes à mobilité réduite.","Baccalauréat, Microsoft Office, bon français",hr-demo+orange-cm@example.com,,fr,seed,2026-04-11,4110,yes
CM-002,Développeur Logiciel Junior,MTN Cameroon,"Yaoundé, Cameroun",Cameroon,"Développer des microservices Java/Spring pour la plateforme mobile money.","Licence Informatique, Java, Spring Boot, Git",hr-demo+mtn-cm@example.com,,fr,seed,2026-04-09,2512,no
CM-003,Téléconseiller (Remote),Express Union,"À distance, Cameroun",Cameroon,"Service client par téléphone et chat. Poste à distance idéal pour personnes à mobilité réduite.","Bilingue français/anglais, BTS, expérience service client",hr-demo+expressunion@example.com,,fr,seed,2026-04-13,4222,yes
CM-004,Couturier,Atelier Yaoundé,"Yaoundé, Cameroun",Cameroon,"Confection et retouches pour boutique haut de gamme. Atelier assis adapté.","Couture, patrons, retouches, finitions",hr-demo+atelier-cm@example.com,,fr,seed,2026-04-14,7531,yes
CM-005,Secrétaire Médicale,Hôpital Général Douala,"Douala, Cameroun",Cameroon,"Accueil, planification rendez-vous, dossiers patients. Recrutement inclusif.","Terminologie médicale, planification, français",hr-demo+hgd@example.com,,fr,seed,2026-04-08,3344,yes
CG-001,Logistics Coordinator,Bolloré Logistics RDC,"Kinshasa, DR Congo",DR Congo,"Coordinate inbound/outbound shipments through Matadi port. Office is wheelchair accessible.","B.Sc Logistics or Supply Chain, English & French, 2 yrs experience",hr-demo+bollore-cg@example.com,,en,seed,2026-04-07,3331,yes
CG-002,Comptable Junior,Rawbank,"Kinshasa, RDC",DR Congo,"Tenue de la comptabilité et reporting mensuel. Programme d'inclusion handicap.","Licence Comptabilité, Excel, français courant",hr-demo+rawbank@example.com,,fr,seed,2026-04-12,2411,yes
CG-003,Technicien Mécanique,Glencore Kamoto,"Kolwezi, RDC",DR Congo,"Maintenance des équipements miniers. Programme inclusion handicap.","Graduat mécanique, AutoCAD, maintenance industrielle",hr-demo+glencore-cg@example.com,,fr,seed,2026-04-09,3132,yes
CG-004,Traducteur FR/EN,UN OCHA Kinshasa,"Kinshasa, RDC (Remote possible)",DR Congo,"Traduction de rapports humanitaires. Poste partiellement à distance.","Français, anglais, traduction, terminologie humanitaire",hr-demo+ocha@example.com,,fr,seed,2026-04-15,2643,yes

